id,year,subject,studentId,name,isParticipating,grade,points
G-2024-보건의료정보관리학-2026289031-1784543459841,2024,보건의료정보관리학,2026289031,이서진,True,A,3
G-2024-보건의료정보관리학-2026289032-1784543459841,2024,보건의료정보관리학,2026289032,삼서진,True,B,3
G-2024-보건의료정보관리학-2026289033-1784543459841,2024,보건의료정보관리학,2026289033,사서진,True,C,2
G-2024-보건의료정보관리학-2026289034-1784543459841,2024,보건의료정보관리학,2026289034,오서진,True,D,1
G-2024-보건의료정보관리학-2026289035-1784543459841,2024,보건의료정보관리학,2026289035,육서진,True,F,0
G-2024-보건의료정보관리학-2026289036-1784543459841,2024,보건의료정보관리학,2026289036,칠서진,True,A,3
G-2024-보건의료정보관리학-2026289037-1784543459841,2024,보건의료정보관리학,2026289037,일서진,False,A,3
G-2024-의학용어(1)-2024289001-1784544810605,2024,의학용어(1),2024289001,김서진,True,C,2
G-2024-의학용어(1)-2024289002-1784544810605,2024,의학용어(1),2024289002,이민준,True,C,2
G-2024-의학용어(1)-2024289003-1784544810605,2024,의학용어(1),2024289003,박지호,True,C,2
G-2024-의학용어(1)-2024289004-1784544810605,2024,의학용어(1),2024289004,최수현,True,B,3
G-2024-의학용어(1)-2024289005-1784544810605,2024,의학용어(1),2024289005,정예린,True,C,2
G-2024-의학용어(1)-2024289006-1784544810605,2024,의학용어(1),2024289006,강도현,True,C,2
G-2024-의학용어(1)-2024289007-1784544810605,2024,의학용어(1),2024289007,윤하윤,True,A,3
G-2024-의학용어(1)-2024289008-1784544810605,2024,의학용어(1),2024289008,임지원,True,B,3
G-2024-의학용어(1)-2024289009-1784544810605,2024,의학용어(1),2024289009,한태양,True,C,2
G-2024-의학용어(1)-2024289010-1784544810605,2024,의학용어(1),2024289010,오아름,True,C,2
G-2024-의학용어(1)-2024289011-1784544810605,2024,의학용어(1),2024289011,서정우,True,D,1
G-2024-의학용어(1)-2024289012-1784544810605,2024,의학용어(1),2024289012,신소연,True,C,2
G-2024-의학용어(1)-2024289013-1784544810605,2024,의학용어(1),2024289013,권민혁,True,B,3
G-2024-의학용어(1)-2024289014-1784544810605,2024,의학용어(1),2024289014,황유나,True,D,1
G-2024-의학용어(1)-2024289015-1784544810605,2024,의학용어(1),2024289015,안재원,True,F,0
G-2024-의학용어(1)-2024289016-1784544810605,2024,의학용어(1),2024289016,송채원,True,C,2
G-2024-의학용어(1)-2024289017-1784544810605,2024,의학용어(1),2024289017,류현우,True,D,1
G-2024-의학용어(1)-2024289018-1784544810605,2024,의학용어(1),2024289018,전지은,True,C,2
G-2024-의학용어(1)-2024289019-1784544810605,2024,의학용어(1),2024289019,홍성준,True,C,2
G-2024-의학용어(1)-2024289020-1784544810605,2024,의학용어(1),2024289020,고혜린,False,C,2
G-2024-의학용어(1)-2024289021-1784544810605,2024,의학용어(1),2024289021,문동현,True,A,3
G-2024-의학용어(1)-2024289022-1784544810605,2024,의학용어(1),2024289022,손수진,True,C,2
G-2024-의학용어(1)-2024289023-1784544810605,2024,의학용어(1),2024289023,양준혁,True,C,2
G-2024-의학용어(1)-2024289024-1784544810605,2024,의학용어(1),2024289024,배미래,True,D,1
G-2024-의학용어(1)-2024289025-1784544810605,2024,의학용어(1),2024289025,조태현,True,C,2
G-2024-의학용어(1)-2024289026-1784544810605,2024,의학용어(1),2024289026,백보람,True,C,2
G-2024-의학용어(1)-2024289027-1784544810605,2024,의학용어(1),2024289027,허시현,True,D,1
G-2024-의학용어(1)-2024289028-1784544810605,2024,의학용어(1),2024289028,유종민,True,C,2
G-2024-의학용어(1)-2024289029-1784544810605,2024,의학용어(1),2024289029,남가영,True,D,1
G-2024-의학용어(1)-2024289030-1784544810605,2024,의학용어(1),2024289030,심영준,True,C,2
G-2024-의학용어(1)-2024289031-1784544810605,2024,의학용어(1),2024289031,노다은,True,B,3
G-2024-의학용어(1)-2024289032-1784544810605,2024,의학용어(1),2024289032,하상현,False,A,3
G-2024-의학용어(1)-2024289033-1784544810605,2024,의학용어(1),2024289033,곽나연,True,B,3
G-2024-의학용어(1)-2024289034-1784544810605,2024,의학용어(1),2024289034,성경훈,False,C,2
G-2024-의학용어(1)-2024289035-1784544810605,2024,의학용어(1),2024289035,차효진,True,B,3
G-2024-질병및의료행위분류1-2024289001-1784544846414,2024,질병및의료행위분류1,2024289001,김서진,True,B,3
G-2024-질병및의료행위분류1-2024289002-1784544846414,2024,질병및의료행위분류1,2024289002,이민준,True,C,2
G-2024-질병및의료행위분류1-2024289003-1784544846414,2024,질병및의료행위분류1,2024289003,박지호,True,A,3
G-2024-질병및의료행위분류1-2024289004-1784544846414,2024,질병및의료행위분류1,2024289004,최수현,True,B,3
G-2024-질병및의료행위분류1-2024289005-1784544846414,2024,질병및의료행위분류1,2024289005,정예린,True,A,3
G-2024-질병및의료행위분류1-2024289006-1784544846414,2024,질병및의료행위분류1,2024289006,강도현,True,B,3
G-2024-질병및의료행위분류1-2024289007-1784544846414,2024,질병및의료행위분류1,2024289007,윤하윤,True,B,3
G-2024-질병및의료행위분류1-2024289008-1784544846414,2024,질병및의료행위분류1,2024289008,임지원,True,C,2
G-2024-질병및의료행위분류1-2024289009-1784544846414,2024,질병및의료행위분류1,2024289009,한태양,True,C,2
G-2024-질병및의료행위분류1-2024289010-1784544846414,2024,질병및의료행위분류1,2024289010,오아름,True,C,2
G-2024-질병및의료행위분류1-2024289011-1784544846414,2024,질병및의료행위분류1,2024289011,서정우,True,B,3
G-2024-질병및의료행위분류1-2024289012-1784544846414,2024,질병및의료행위분류1,2024289012,신소연,True,C,2
G-2024-질병및의료행위분류1-2024289013-1784544846414,2024,질병및의료행위분류1,2024289013,권민혁,True,C,2
G-2024-질병및의료행위분류1-2024289014-1784544846414,2024,질병및의료행위분류1,2024289014,황유나,True,F,0
G-2024-질병및의료행위분류1-2024289015-1784544846414,2024,질병및의료행위분류1,2024289015,안재원,True,F,0
G-2024-질병및의료행위분류1-2024289016-1784544846414,2024,질병및의료행위분류1,2024289016,송채원,True,D,1
G-2024-질병및의료행위분류1-2024289017-1784544846414,2024,질병및의료행위분류1,2024289017,류현우,True,C,2
G-2024-질병및의료행위분류1-2024289018-1784544846414,2024,질병및의료행위분류1,2024289018,전지은,True,B,3
G-2024-질병및의료행위분류1-2024289019-1784544846414,2024,질병및의료행위분류1,2024289019,홍성준,True,F,0
G-2024-질병및의료행위분류1-2024289020-1784544846414,2024,질병및의료행위분류1,2024289020,고혜린,False,D,1
G-2024-질병및의료행위분류1-2024289021-1784544846414,2024,질병및의료행위분류1,2024289021,문동현,True,A,3
G-2024-질병및의료행위분류1-2024289022-1784544846414,2024,질병및의료행위분류1,2024289022,손수진,True,D,1
G-2024-질병및의료행위분류1-2024289023-1784544846414,2024,질병및의료행위분류1,2024289023,양준혁,True,C,2
G-2024-질병및의료행위분류1-2024289024-1784544846414,2024,질병및의료행위분류1,2024289024,배미래,True,D,1
G-2024-질병및의료행위분류1-2024289025-1784544846414,2024,질병및의료행위분류1,2024289025,조태현,True,D,1
G-2024-질병및의료행위분류1-2024289026-1784544846414,2024,질병및의료행위분류1,2024289026,백보람,True,B,3
G-2024-질병및의료행위분류1-2024289027-1784544846414,2024,질병및의료행위분류1,2024289027,허시현,True,C,2
G-2024-질병및의료행위분류1-2024289028-1784544846414,2024,질병및의료행위분류1,2024289028,유종민,True,B,3
G-2024-질병및의료행위분류1-2024289029-1784544846414,2024,질병및의료행위분류1,2024289029,남가영,True,B,3
G-2024-질병및의료행위분류1-2024289030-1784544846414,2024,질병및의료행위분류1,2024289030,심영준,True,D,1
G-2024-질병및의료행위분류1-2024289031-1784544846414,2024,질병및의료행위분류1,2024289031,노다은,True,D,1
G-2024-질병및의료행위분류1-2024289032-1784544846414,2024,질병및의료행위분류1,2024289032,하상현,False,A,3
G-2024-질병및의료행위분류1-2024289033-1784544846414,2024,질병및의료행위분류1,2024289033,곽나연,True,B,3
G-2024-질병및의료행위분류1-2024289034-1784544846414,2024,질병및의료행위분류1,2024289034,성경훈,False,C,2
G-2024-질병및의료행위분류1-2024289035-1784544846414,2024,질병및의료행위분류1,2024289035,차효진,True,A,3
